ident8;begin.opschrift;begin.afstand;eind.opschrift;eind.afstand;gebied
A0019412;71.7;0;72.2;0;Agentschap Wegen en Verkeer - AWV123
A0020001;0;0;50;-9;Agentschap Wegen en Verkeer - AWV720
A0020001;50;-9;86.7;4;Agentschap Wegen en Verkeer - AWV214
A0020001;86.7;4;87.4;179;Agentschap Wegen en Verkeer - AWV213
A0020002;0;-1;50;-10;Agentschap Wegen en Verkeer - AWV720
A0020002;50;-10;86.7;14;Agentschap Wegen en Verkeer - AWV214
A0020002;86.7;14;87.7;64;Agentschap Wegen en Verkeer - AWV213
A0020002;87.7;64;87.7;67;Agentschap Wegen en Verkeer - AWV213
A0020002;87.7;67;87.7;268;Agentschap Wegen en Verkeer - AWV213
A0020101;0;-3;0;18;Agentschap Wegen en Verkeer - AWV720
A0020102;0;-3;0;18;Agentschap Wegen en Verkeer - AWV720
A0020111;0;-93;0;777;Agentschap Wegen en Verkeer - AWV720
A0020112;0;-93;0;777;Agentschap Wegen en Verkeer - AWV720
A0020121;0;-68;0;316;Agentschap Wegen en Verkeer - AWV720
A0020121;0;316;0;367;Agentschap Wegen en Verkeer - AWV720
A0020121;0;367;0;370;Agentschap Wegen en Verkeer - AWV720
A0020122;0;-68;0;316;Agentschap Wegen en Verkeer - AWV720
A0020122;0;316;0;367;Agentschap Wegen en Verkeer - AWV720
A0020122;0;367;0;370;Agentschap Wegen en Verkeer - AWV720
A0020131;0;-26;0;60;Agentschap Wegen en Verkeer - AWV720
A0020132;0;-26;0;60;Agentschap Wegen en Verkeer - AWV720
A0020141;0;-47;0;5;Agentschap Wegen en Verkeer - AWV720
A0020142;0;-47;0;5;Agentschap Wegen en Verkeer - AWV720
A0020151;0;-1;0;441;Agentschap Wegen en Verkeer - AWV720
A0020152;0;-1;0;441;Agentschap Wegen en Verkeer - AWV720
A0020161;0;-8;0;323;Agentschap Wegen en Verkeer - AWV720
A0020162;0;-8;0;323;Agentschap Wegen en Verkeer - AWV720
A0020171;0;0;0;75;Agentschap Wegen en Verkeer - AWV720
A0020172;0;0;0;75;Agentschap Wegen en Verkeer - AWV720
A0020181;0;-13;0;185;Agentschap Wegen en Verkeer - AWV720
A0020182;0;-13;0;185;Agentschap Wegen en Verkeer - AWV720
A0020211;0;0;14.7;393;Agentschap Wegen en Verkeer - AWV720
A0020212;0;0;14.7;393;Agentschap Wegen en Verkeer - AWV720
A0020221;0;0;0;298;Agentschap Wegen en Verkeer - AWV720
A0020222;0;0;0;298;Agentschap Wegen en Verkeer - AWV720
A0020231;0;-1;15.6;15;Agentschap Wegen en Verkeer - AWV720
A0020232;0;-1;15.6;15;Agentschap Wegen en Verkeer - AWV720
A0020241;0;0;0;677;Agentschap Wegen en Verkeer - AWV720
A0020242;0;0;0;677;Agentschap Wegen en Verkeer - AWV720
A0020251;0;-9;15.4;70;Agentschap Wegen en Verkeer - AWV720
A0020252;0;-9;15.4;70;Agentschap Wegen en Verkeer - AWV720
A0020261;0;-8;0;513;Agentschap Wegen en Verkeer - AWV720
A0020262;0;-8;0;513;Agentschap Wegen en Verkeer - AWV720
A0020271;0;0;0;84;Agentschap Wegen en Verkeer - AWV720
A0020272;0;0;0;84;Agentschap Wegen en Verkeer - AWV720
A0020281;0;0;0;83;Agentschap Wegen en Verkeer - AWV720
A0020282;0;0;0;83;Agentschap Wegen en Verkeer - AWV720
A0020311;0;-2;0;455;Agentschap Wegen en Verkeer - AWV720
A0020312;0;-2;0;455;Agentschap Wegen en Verkeer - AWV720
A0020321;0;0;0;249;Agentschap Wegen en Verkeer - AWV720
A0020321;0;250;0;600;Agentschap Wegen en Verkeer - AWV720
A0020322;0;0;0;249;Agentschap Wegen en Verkeer - AWV720
A0020322;0;250;0;600;Agentschap Wegen en Verkeer - AWV720
A0020341;0;-70;0;607;Agentschap Wegen en Verkeer - AWV720
A0020342;0;-70;0;607;Agentschap Wegen en Verkeer - AWV720
A0020351;0;-171;0;201;Agentschap Wegen en Verkeer - AWV720
